Gemeindenamen;Kanton;Jahr;Art der Entstehung
Landquart;GR;2012;Vereinigung von Igis und Mastrils
Oron;VD;2012;Fusion de Bussigny-sur-Oron, Châtillens, Chesalles-sur-Oron, Ecoteaux, Oron-la-Ville, Oron-le-Châtel, Palézieux, Les Tavernes, Les Thioleyres et Vuibroye
Serravalle;TI;2012;Fusione di Ludiano, Malvaglia e Semione
Bözberg;AG;2013;Vereinigung von Gallenkirch, Linn, Oberbözberg und Unterbözberg
Bütschwil-Ganterschwil;SG;2013;Vereinigung von Bütschwil und Ganterschwil
Drei Höfe;SO;2013;Vereinigung von Heinrichswil-Winistorf und Hersiwil
Eschenbach (SG);SG;2013;Vereinigung von Eschenbach (SG), Goldingen und St. Gallenkappel
Escholzmatt-Marbach;LU;2013;Vereinigung von Escholzmatt und Marbach (LU)
Gommiswald;SG;2013;Vereinigung von Rieden, Ernetschwil und Gommiswald
Haute-Sorne;JU;2013;Fusion de Bassecourt, Courfaivre, Glovelier, Soulce et Undervelier
Lumnezia;GR;2013;Vereinigung von Cumbel, Degen, Lumbrein, Morissen, Suraua, Vignogn, Vella und Vrin
Lüsslingen-Nennigkofen;SO;2013;Vereinigung von Lüsslingen und Nennigkofen
Milvignes;NE;2013;Fusion de Auvernier, Bôle et Colombier (NE)
Montanaire;VD;2013;Fusion de Chapelle-sur-Moudon, Correvon, Denezy, Martherenges, Neyruz-sur-Moudon, Peyres-Possens, Saint-Cierges, Thierrens et Chanéaz
Nesslau;SG;2013;Vereinigung von Stein (SG)und Nesslau-Krummenau
Safiental;GR;2013;Vereinigung von Valendas, Versam, Safien und Tenna
Terre di Pedemonte;TI;2013;Fusione di Cavigliano, Tegna e Verscio
Turtmann-Unterems;VS;2013;Vereinigung von Turtmann und Unterems
Val Terbi;JU;2013;Fusion de Montsevelier, Vermes et Vicques
Val-de-Ruz;NE;2013;Fusion de Boudevilliers, Cernier, Chézard-Saint-Martin, Coffrane, Dombresson, Engollon, Fenin-Vilars-Saules, Fontainemelon, Fontaines (NE), Les Geneveys-sur-Coffrane, Les Hauts-Geneveys, Montmollin, Le Pâquier (NE), Savagnier et Villiers
Valsot;GR;2013;Vereinigung von Ramosch und Tschlin
Wattwil;SG;2013;Vereinigung von Krinau und Wattwil
